,7h,12h,16h,24h
YDL097C,35.0018,48.3159,53.3561,73.1463
YHR214W,7.77309,5.90552,4.78857,5.898
YBR275C,4.16332,1.73864,0.690616,0.32112
YLR058C,794.254,204.809,104.955,107.424
YDR236C,29.8256,43.2694,28.7303,20.3886
YCL029C,14.3477,11.1787,6.04001,2.85173
YKR058W,10.2718,15.8468,24.4561,30.0144
YPL139C,24.3158,26.9427,22.4881,15.8445
YOR207C,31.8845,29.2238,16.8583,10.7714
YEL039C,70.2314,426.855,1944.73,3844.17
YGL246C,43.4919,44.0651,25.2967,15.6303
YPL229W,83.2318,102.124,83.2529,96.7157
YDL166C,71.0061,66.094,36.1215,22.3002
YPR083W,7.96774,10.0186,5.62909,3.15771
YHR126C,1.13156,2.65034,0.364253,2.35274
YGR145W,37.4408,33.2302,20.4369,15.3988
YER176W,5.48449,4.16159,3.24832,3.74347
YLR130C,162.042,164.372,174.33,144.692
YHL019C,2.96186,3.07093,3.17618,3.51454
YDL111C,113.758,109.944,99.9952,83.7173
YLR439W,20.4631,34.7346,28.0924,16.5459
YDL006W,22.8037,21.9514,23.7192,26.6027
YAL011W,4.36168,5.07538,3.32931,3.906
YBR085W,130.946,104.479,24.6671,17.856
YKL095W,5.77672,7.47347,10.3747,9.13014
YMR206W,1.51192,2.86712,20.2073,23.417
YDR141C,6.41463,4.3895,1.58792,1.37421
YGL259W,1.91757,13.8931,20.6681,18.6243
YGL091C,27.1631,29.2462,44.7252,40.8135
YDR192C,19.0547,24.0253,17.6639,13.4327
YGL111W,47.0912,34.9579,25.6485,19.4115
YOR176W,20.4669,15.0282,3.77919,2.33324
YDR486C,24.3671,28.6294,22.0859,24.0867
YIR012W,108.539,123.523,98.8008,77.8034
YKL056C,2812.45,2704.83,1915.87,1643.89
YGR257C,16.72,25.8315,17.6623,21.1812
YDL241W,25.1509,15.0271,4.30735,5.07214
YLR272C,6.61769,2.8523,1.49259,0.813919
YHR046C,94.1659,62.4993,34.2487,19.7494
YNL225C,4.40977,2.94476,2.43496,1.48986
YDR293C,27.5346,46.6578,39.4705,32.1842
YHR077C,21.3945,17.9792,10.0834,6.84981
YER171W,15.6036,13.596,8.76162,7.16298
YLR211C,5.69725,8.0102,2.71588,1.75613
YHR022C,0.128016,0.761785,2.49979,3.86905
YLR183C,21.5087,2.80239,0.536021,0.153813
YCL010C,14.0234,11.6093,6.04182,6.7106
YOR219C,4.6239,5.02122,5.68208,4.83702
YOR363C,3.98777,5.15887,4.09199,2.5637
YOL111C,35.8797,32.572,44.9564,38.8851
YGR097W,13.8633,11.8452,12.5536,9.72375
YHR049W,263.304,385.294,295.725,194.745
YDR481C,31.6232,40.976,60.9261,72.6208
YDR489W,12.7955,11.9009,6.78123,6.6513
YHL049C,1.0428,1.73125,0.824991,0.362471
YBR085C-A,343.812,1269.77,3687.17,5741.06
YKL077W,80.2345,92.227,83.1573,66.8552
YDR262W,46.4212,88.1237,120.432,123.273
YDL173W,18.4663,16.46,10.0613,10.1528
YML048W,123.967,157.217,193.693,247.282
YGR118W,1866.52,1316.78,657.273,197.459
YLR193C,75.4703,86.2099,117.496,93.6235
YIR031C,4.49582,7.11514,2.56605,1.54949
YHR158C,4.82582,2.2875,3.07407,3.882
YER045C,64.2972,67.2574,56.9076,46.7476
YGL037C,98.9033,267.167,872.565,1076.41
YPR120C,6.32281,2.91559,0.761518,0.329368
YEL057C,0.798928,0.858106,0.642019,0.18748
YLR110C,9620.83,11675.2,9985.26,5455.81
YMR235C,66.4577,76.8553,50.0494,36.55
YBR049C,16.2191,10.0479,12.2012,18.0033
YBR030W,24.9708,23.6762,18.9711,12.0724
YGR199W,15.9375,17.9821,10.1564,5.21511
YDR499W,4.26675,4.26689,3.25678,2.99309
YNL238W,30.724,26.5547,30.0236,20.0485
YLR347C,38.7967,35.398,25.0337,22.5633
YLR278C,12.9983,11.2229,11.925,9.28352
YER087W,3.67503,7.35294,2.97966,1.02502
YDR477W,21.4218,25.3549,28.2818,16.9821
YER055C,465.578,324.276,156.766,137.121
YDR502C,937.872,1280.94,849.068,469.589
YLR204W,76.2412,140.854,148.397,96.0514
YCL039W,3.41364,8.48841,9.27057,16.1002
YBR058C,14.1682,12.114,5.35309,2.59399
YPL088W,54.0026,53.8286,31.1269,27.3164
YPL003W,1.95119,5.56924,5.42791,5.30698
YER074W-A,216.085,234.759,166.906,117.215
YDR265W,7.66762,13.7074,19.0512,15.7921
YJL191W,435.073,469.634,403.503,258.744
YKL086W,0.398236,1.35008,2.55859,6.61056
YKR039W,4.0595,21.3165,5.66878,2.80685
YPR105C,11.5226,6.93564,3.9044,2.45418
YDL130W,1726.16,1562.29,730.059,197.817
YNL117W,1.52611,3.64189,36.4468,40.6012
YBR161W,21.1388,21.821,22.0585,9.10458
YPR147C,29.7804,41.1755,31.0079,18.1953
YIL085C,45.3252,51.4477,44.9984,34.3752
YPL226W,126.582,122.624,60.0576,46.8135
YER012W,69.2718,99.2901,70.6779,83.9173
YEL060C,79.449,269.77,356.895,462.403
YHR083W,32.8723,37.6628,27.7817,22.3264
YKL207W,88.3804,126.936,101.892,80.9017
YDL168W,153.543,232.791,519.611,579.582
YPR134W,7.72298,7.69054,6.15141,7.30722
YPL090C,544.442,368.477,199.487,54.4219
YJR142W,21.1865,14.8927,9.02437,2.85557
YJR118C,53.9078,36.9831,15.2717,8.35258
YKR062W,36.2737,45.0881,55.0619,39.5356
YGR240C-A,44.1202,19.6332,4.89126,5.26087
YEL046C,529.362,623.647,446.947,468.606
YGL244W,17.3877,14.058,10.7973,7.56462
YLR188W,18.4426,14.7823,6.49443,4.42177
YCR012W,1694.09,1088.13,363.557,208.557
YMR204C,2.88579,2.67202,2.28788,3.25671
YKL033W-A,84.8398,79.3526,28.2555,20.3286
YDR098C,79.2095,59.6748,27.6364,24.5574
YMR142C,1387.4,950.086,434.216,127.389
YKL217W,0.886267,8.22298,20.4152,25.1666
YDR022C,23.4808,29.3713,29.3147,15.1198
YMR242C,1523.44,1128.35,555.471,216.619
YPL079W,1613.73,1098.6,498.255,146.602
YER140W,14.6853,16.3237,11.8499,8.70423
YER093C,4.0601,4.51203,4.19004,2.92659
YHR218W,0,0,0,0
YJL149W,9.86353,13.1942,18.141,17.5921
